년월,전체예약건수,취소건수,취소율(%),실제매출
2015-07,2776,1259,45.35,758339.79
2015-08,3889,1598,41.09,1137652.71
2015-09,5114,2094,40.95,1054620.67
2015-10,4957,1732,34.94,784714.88
2015-11,2340,486,20.77,346709.49
2015-12,2920,973,33.32,429521.57
2016-01,2248,557,24.78,264521.38
2016-02,3891,1337,34.36,484170.72
2016-03,4824,1477,30.62,767337.42
2016-04,5428,2061,37.97,896591.38
2016-05,5478,1915,34.96,1073277.63
2016-06,5292,2096,39.61,1144800.38
2016-07,4572,1499,32.79,1525019.05
2016-08,5063,1825,36.05,1809324.75
2016-09,5394,2022,37.49,1289642.69
2016-10,6203,2514,40.53,1072101.84
2016-11,4454,1636,36.73,688843.47
2016-12,3860,1398,36.22,657870.72
2017-01,3681,1250,33.96,512155.46
2017-02,4177,1359,32.54,663370.76
2017-03,4970,1672,33.64,884761.17
2017-04,5661,2463,43.51,1203266.1
2017-05,6313,2762,43.75,1321936.01
2017-06,5647,2439,43.19,1438490.54
2017-07,5313,1984,37.34,1817038.23
2017-08,4925,1816,36.87,1970181.6
